0.122649 0.186231 0.879663	0.226908 0.417312 0.554624	0.517226 0.458739 -0.558099	0.487276 0.926283 -50.3585
0.331166 0.648393 0.229586	0.805256 0.277173 1.15349	0.495535 1.4083 -0.979903	0.504435 1.02957 0.324749
0.705029 0.0899326 0.533577	0.674243 0.174402 -0.783165	0.356316 0.776245 -5.88697	0.522333 1.01972 0.0449069
0.905484 0.464413 1.77341	0.385978 0.570285 -3.14773	0.582786 1.2244 -1.13844	0.49714 1.07523 1.15854
0.776048 0.0213642 -1.7114	0.493743 0.854522 -0.567722	0.575061 1.08016 -1.21455	0.545208 1.01598 -2.73556
0.572439 0.327439 0.145072	0.526132 0.483483 -0.722343	0.711013 0.931019 -489.246	0.517897 0.92482 -7.28578
0.0173017 0.875098 -4.85625	0.478075 1.28051 -0.214663	0.47547 1.16137 -0.761227	0.414927 1.05432 7.78292
0.754654 0.265473 -1.4392	0.375085 0.184767 0.631363	0.211599 0.465014 -0.422345	0.531828 0.96018 0.163594
0.493226 1.41078 -0.0656342	0.515388 1.64202 2.34836	0.482283 1.05738 0.34733	0.510468 1.02303 0.492571
0.49426 0.298263 -1.06981	0.582993 3.45073 -6.94223	0.465471 0.700204 -3.7255	0.546296 0.867213 0.3265
0.471797 0.879277 0.384379	0.12279 2.14343 0.232364	0.63992 1.22793 -0.728459	0.49662 0.989774 0.243402
0.580468 0.0876886 -1.82907	0.277472 0.473188 -26.9798	0.529229 1.22487 0.90128	0.483326 0.966339 -0.676619
0.931865 1.40263 0.00583648	0.38162 0.158906 -2.39107	0.557432 1.11633 1.25729	0.540729 0.940334 2.28114
0.024284 1.15838 -0.435163	0.866982 0.763723 -0.300221	0.569923 1.14504 -0.60193	0.512173 1.06708 -0.343386
0.651955 0.24061 0.627503	0.132718 0.341979 0.00385347	0.442462 1.5747 0.792045	0.472254 0.996815 1.30295
0.0982145 0.128925 0.635223	0.507578 1.14485 -0.0587919	0.400254 0.976942 1.0008	0.487648 1.00182 -1.44803
0.577269 1.83261 -5.97772	0.71204 1.12528 2.8418	0.465178 0.8325 -0.120288	0.498177 1.1149 -0.815847
0.453507 1.45143 10.6744	0.6211 2.05801 -12.9902	0.558527 0.798574 0.170618	0.498391 0.812614 -0.177093
0.22611 5.22329 3.8374	0.4875 1.13803 1.50004	0.390286 0.698871 0.0340936	0.483355 1.02892 -0.133477
0.939875 1.67817 -17.7219	0.585714 0.65581 3.0149	0.491133 0.699967 0.54204	0.522884 0.982648 -1.30228
0.133804 0.0549627 0.793048	0.477223 0.833498 -4.02302	0.583855 1.05442 -2.81504	0.486046 1.12488 -11.2629
0.111777 4.2319 -0.328321	0.45816 2.47946 -0.68894	0.51265 0.836856 1.04877	0.519573 0.943941 0.124394
0.272751 0.289504 0.12043	0.805555 0.348931 2.2163	0.503428 1.02703 0.797594	0.524903 0.941759 3.01736
0.282193 0.656872 -54.08	0.592847 1.18852 -1.69108	0.470273 0.74398 -2.28717	0.531099 1.00952 0.371259
0.214718 0.0180205 -2.66526	0.54152 0.550399 -1.88602	0.564016 0.723383 1.29368	0.554832 0.773953 1.5349
0.548522 0.299792 -2.11688	0.49528 1.10612 -0.423705	0.643227 0.763351 -0.407203	0.531179 0.994636 -0.060311
0.902262 0.146058 -1.0676	0.858017 1.56793 -0.590204	0.475813 1.18673 0.50249	0.495212 1.20517 3.68933
0.831703 1.38139 0.467162	0.822899 0.520715 -1.00226	0.569493 1.42311 1.399	0.48632 0.893765 1.41968
0.201218 0.17328 0.612506	0.679365 0.76471 0.896352	0.495965 1.02324 0.87647	0.485058 1.09785 -0.988676
0.0642171 0.510678 -0.604799	0.699505 0.695621 -2445.11	0.404613 1.41511 0.0404722	0.503116 0.902767 -0.0514928
0.98646 0.42042 -0.200915	0.717734 0.760654 1.47035	0.538327 1.47702 0.71186	0.435802 0.821078 -0.35055
0.0286961 1.86929 0.0833308	0.451785 2.75364 0.823263	0.460956 1.02824 1.58456	0.485475 0.967272 0.274583
0.576023 1.92213 0.734577	0.641107 1.45694 -0.303095	0.640916 0.458336 1.1658	0.473473 1.0466 -3.10766
0.848058 0.328427 4.94903	0.457129 0.714224 -0.81456	0.418624 1.30259 2.31458	0.444732 0.999261 0.797348
0.95178 2.59311 2.57099	0.109595 0.121369 -4.98209	0.387557 0.632588 1.84778	0.458133 0.960072 -1.31254
0.29042 1.52291 -28.5513	0.397868 0.482614 0.188037	0.39662 1.07619 2.47407	0.48917 0.940593 1.38098
0.830226 1.97437 0.930884	0.0436682 0.593552 1.75546	0.492178 0.670427 0.357641	0.499541 1.0183 -0.741835
0.144774 0.301691 2.06919	0.172271 0.101764 -2.19488	0.467919 1.25114 0.511703	0.518095 0.923154 0.755485
0.547801 0.0922379 0.283398	0.165204 0.575905 -7.31149	0.543077 1.10751 -0.383734	0.474082 0.974598 0.0970528
0.623628 1.21938 5.74641	0.278981 0.571234 5.45115	0.625225 1.74824 1.00114	0.509179 1.07298 0.455531
0.341636 1.4273 -8.03437	0.435486 1.4773 -0.413305	0.619452 0.734951 -0.235057	0.499124 1.01712 2.09486
0.61281 0.239694 -0.0116683	0.868209 1.46627 1.68187	0.573344 1.37449 -18.7786	0.496405 1.0053 3.06476
0.838501 4.868 -5.56754	0.296612 0.546696 0.456144	0.370354 1.17083 -1.76547	0.497037 1.11509 -1.2839
0.0778181 0.0909209 4.18966	0.476642 0.914491 -0.251182	0.544784 1.04917 -0.745076	0.509509 1.0237 1.00856
0.793058 0.115288 -0.52412	0.334468 0.882168 0.263119	0.611059 0.888477 0.367674	0.492205 1.00383 -0.263137
0.818053 0.582574 4.95672	0.307944 0.63666 -0.422422	0.600339 0.681075 -0.090727	0.484439 1.17195 2.70746
0.916148 0.0504079 -4.00311	0.290541 0.556763 -1.88511	0.555581 0.867214 -3.06666	0.440476 0.929748 -0.571461
0.269545 2.32664 0.620936	0.798541 0.601346 -0.103835	0.466556 1.38354 -2.43922	0.497931 0.84378 144.03
0.82428 1.03883 -1.4973	0.36187 0.927624 0.296311	0.565654 0.75061 0.433222	0.521544 1.06227 1.51561
0.258761 0.061966 -2.27474	0.568459 0.778629 -16.5124	0.544961 1.25939 -1.03573	0.507885 1.05992 1.47831
0.0129601 0.475173 -1.93977	0.486283 3.46181 1.1583	0.642964 0.790358 1.68508	0.510916 1.02577 0.675155
0.977601 1.73707 1.09236	0.58587 0.511587 -1.0432	0.659399 1.29788 5.96476	0.534843 1.10823 -1.89074
0.994451 2.22354 -0.170611	0.794248 1.25678 -0.60417	0.59666 1.28891 1.55383	0.519137 1.29598 -0.69009
0.721584 0.912317 -1.0098	0.796075 0.808657 0.194786	0.330559 0.659908 1.05193	0.508448 1.02756 1.43516
0.758309 0.596703 -0.013166	0.537127 0.100833 -3.34801	0.5442 0.781909 -0.0556578	0.552102 0.901648 2.62321
0.887488 0.444726 -1.99134	0.342509 2.51906 0.429703	0.511405 0.948212 0.115999	0.486342 0.921068 0.339277
0.793687 0.331077 1.46203	0.429844 0.198252 1.24794	0.499416 1.12627 0.69712	0.547348 0.916509 -1.11507
0.565043 1.19834 0.330677	0.538296 0.221712 1.49361	0.501597 0.637742 2.81655	0.491608 1.00588 0.0664144
0.742493 1.03975 -4890.76	0.766922 1.43645 0.655554	0.404102 0.786253 -0.975233	0.457305 1.08307 0.222717
0.656518 0.351494 0.545425	0.568574 1.74889 0.679593	0.488667 0.930755 -85.7122	0.488377 1.04784 0.65424
0.624291 0.997003 -2.76623	0.614984 0.788762 4.149	0.392722 0.904621 53.212	0.441605 1.21714 -2.41113
0.811177 0.524305 5.70693	0.590503 1.17449 -0.0496098	0.431593 0.75745 0.707578	0.523895 0.871067 1.31206
0.714217 2.01941 2.63234	0.520095 0.907779 0.370034	0.555559 1.29878 4.61947	0.54662 0.99763 -0.0619067
0.189353 3.48788 -0.985815	0.961281 1.33438 2.03512	0.289016 1.37331 21.8894	0.498868 1.04324 -4.07705
0.331877 1.95117 1.36099	0.100296 1.37625 -0.218102	0.283202 0.982157 0.696154	0.511508 0.934886 -5.76974
0.950338 0.96271 -1.96718	0.713802 0.375617 -1.28179	0.467612 0.899394 -2.54225	0.516559 0.996545 -0.0178878
0.538703 0.3411 0.126821	0.665146 0.372564 10.6347	0.421225 0.805377 -0.736517	0.466121 1.00743 -4.57243
0.375554 1.08735 -1.75594	0.501569 1.75504 -0.491893	0.481513 1.31441 0.0436716	0.49465 1.26299 -0.188311
0.182797 0.00860976 -0.236836	0.595758 0.994746 -11.5653	0.41261 1.44274 -1.45938	0.477253 1.01349 15.4886
0.0363917 0.234129 -9.72735	0.373342 2.22725 -0.305372	0.414217 0.764986 1.39907	0.542516 0.92775 2.29558
0.326359 0.230618 0.0397384	0.548387 5.88817 4.99507	0.618545 0.740309 -0.319004	0.545761 1.03927 -0.663095
0.469377 0.734609 0.336335	0.175371 0.135428 1.00283	0.490467 1.22894 -12.2272	0.530134 1.12671 18.3584
0.0528965 0.841008 3.20603	0.467818 0.11357 -0.542126	0.63493 0.831859 -1.35358	0.498226 0.899668 0.830686
0.03444 0.346097 0.304892	0.314348 1.25518 1.01274	0.415254 1.02525 0.232147	0.503439 1.03103 -8.44151
0.226655 0.186575 -4.12686	0.706386 0.481139 -2.50828	0.498969 1.04925 1.0635	0.522883 1.10523 -0.231607
0.117887 0.0169519 -0.262912	0.183918 1.07186 1.62966	0.325712 0.923322 21.1727	0.484549 0.845231 1.08836
0.129179 1.08639 -0.527659	0.471039 2.12746 0.38939	0.631852 0.685203 -0.589166	0.450656 0.95374 -3.14791
0.20123 0.0654232 -14.0953	0.3361 0.517868 -0.0692504	0.622312 0.74343 -3.26092	0.483866 0.965753 0.135398
